"Linha de Tempo;""RPM"";""Lambda"";""MAP"";""Pressão Combustível"";""Pressão Oleo"";""Two-Step"";""Contra-pressão Escape"";""Temp. Ar"";""Temp. Motor"";""Pressão BoostController"";""TPS"";""Temp Cilindro 4"";""Temp Cilindro 3"";""Temp Cilindro 2"";""Temp Cilindro 1"";""Tensão Bateria "";""Acelerômetro (x)"";""Acelerômetro (y)"";""Acelerômetro (z)"""
"0;""4530"";""0.701774796195652"";""-0.504064873964089"";""3.75"";""6.76513671875"";""4.9951171875"";""-0.0341796875"";""40.1417824074074"";""48.8223379629629"";""2.01316766400709"";""-1.8112470518868"";""322.265625"";""391.6015625"";""278.3203125"";""220.703125"";""11.1438382056452"";""0.336393229166666"";""0.434453125"";""0.102447916666667"""
"0.02;""4470"";""0.681765879755435"";""-0.551813924378453"";""3.701171875"";""7.15576171875"";""4.9951171875"";""-0.02197265625"";""40.3226273148148"";""49.0031828703704"";""2.01316766400709"";""-1.8112470518868"";""320.3125"";""388.671875"";""274.4140625"";""217.7734375"";""11.321037046371"";""0.938606770833333"";""0.87390625"";""0.175690104166667"""
"0.04;""4380"";""0.672106402853261"";""-0.567730274516575"";""3.6767578125"";""7.13134765625"";""4.9951171875"";""-0.05859375"";""40.1417824074074"";""49.0031828703704"";""2.01316766400709"";""17.1902638561321"";""321.2890625"";""387.6953125"";""274.4140625"";""217.7734375"";""11.4588583669355"";""0.816536458333333"";""0.353072916666667"";""-0.255625"""
"0.06;""4350"";""0.672106402853261"";""-0.480190348756906"";""3.8232421875"";""6.78955078125"";""4.9951171875"";""-0.14404296875"";""40.1417824074074"";""49.0031828703704"";""2.01316766400709"";""28.9366524174528"";""324.21875"";""389.6484375"";""276.3671875"";""220.703125"";""10.7500630040323"";""1.58151041666667"";""-0.00500000000000023"";""-0.255625"""
"0.08;""4260"";""0.682455842391304"";""-0.249403271754144"";""3.896484375"";""6.2646484375"";""4.9951171875"";""-0.14404296875"";""40.1417824074074"";""48.8223379629629"";""2.02113253546099"";""39.4162735849056"";""325.1953125"";""390.625"";""276.3671875"";""220.703125"";""11.1241494455645"";""1.1501953125"";""-0.29796875"";""0.240794270833333"""
"0.1;""4380"";""0.690735394021739"";""-0.0504488950276244"";""4.05517578125"";""6.47216796875"";""4.9951171875"";""-0.02197265625"";""40.5034722222222"";""49.1840277777778"";""2.00520279255319"";""47.132038620283"";""322.265625"";""386.71875"";""274.4140625"";""218.75"";""10.9272618447581"";""0.214322916666666"";""-0.379348958333333"";""0.639557291666667"""
"0.12;""4560"";""0.710744310461957"";""-0.00269984461325967"";""3.95751953125"";""6.74072265625"";""4.9951171875"";""-0.0341796875"";""40.3226273148148"";""49.0031828703704"";""2.01316766400709"";""49.8958947523585"";""324.21875"";""388.671875"";""278.3203125"";""219.7265625"";""11.1635269657258"";""-3.30944010416667"";""0.076380208333333"";""-0.418385416666667"""
"0.14;""4830"";""0.727993376358696"";""0.00525833045580115"";""4.04296875"";""6.52099609375"";""4.9951171875"";""-0.02197265625"";""40.3226273148148"";""49.1840277777778"";""2.00520279255319"";""46.4410745872641"";""325.1953125"";""389.6484375"";""278.3203125"";""221.6796875"";""10.7500630040323"";""-0.990104166666667"";""-0.477005208333333"";""0.883697916666667"""
"0.16;""5040"";""0.741792629076087"";""-0.0345325448895027"";""4.0185546875"";""7.802734375"";""4.9951171875"";""0.00244140625"";""39.9296875"";""48.6414930555555"";""2.02113253546099"";""30.8943838443396"";""328.125"";""391.6015625"";""282.2265625"";""224.609375"";""11.4785471270161"";""1.6873046875"";""0.0926562499999998"";""-0.0196223958333335"""
"0.18;""5280"";""0.759731657608696"";""-0.169821521063536"";""3.8720703125"";""7.216796875"";""4.9951171875"";""0.02685546875"";""40.3226273148148"";""49.0031828703704"";""2.01316766400709"";""9.81998083726413"";""328.125"";""392.578125"";""284.1796875"";""226.5625"";""11.2422820060484"";""-0.7052734375"";""-1.3477734375"";""-0.263763020833333"""
"0.2;""5490"";""0.760421620244565"";""-0.336943197513812"";""3.798828125"";""7.42431640625"";""4.9951171875"";""-0.02197265625"";""40.1417824074074"";""49.0031828703704"";""2.01316766400709"";""-1.92640772405662"";""330.078125"";""393.5546875"";""286.1328125"";""228.515625"";""11.3604145665323"";""1.28854166666667"";""-0.094518229166667"";""-0.393971354166667"""
"0.22;""5550"";""0.748692255434783"";""-0.472232173687845"";""3.75"";""7.59521484375"";""4.9951171875"";""-0.11962890625"";""40.1417824074074"";""49.0031828703704"";""2.01316766400709"";""-1.92640772405662"";""330.078125"";""392.578125"";""286.1328125"";""228.515625"";""11.4588583669355"";""-0.3634765625"";""0.1658984375"";""0.273346354166667"""
"0.24;""5520"";""0.729373301630435"";""-0.559772099447514"";""3.66455078125"";""6.97265625"";""4.9951171875"";""-0.04638671875"";""40.3226273148148"";""49.1840277777778"";""2.00520279255319"";""-2.27188974056605"";""333.0078125"";""393.5546875"";""288.0859375"";""230.46875"";""10.986328125"";""1.467578125"";""-0.363072916666667"";""-0.0684505208333335"""
"0.26;""5460"";""0.710744310461957"";""-0.615479324930939"";""3.64013671875"";""7.71728515625"";""4.9951171875"";""-0.09521484375"";""40.1417824074074"";""49.0031828703704"";""2.01316766400709"";""-2.15672906839623"";""334.9609375"";""392.578125"";""287.109375"";""232.421875"";""11.261970766129"";""1.174609375"";""0.027552083333333"";""-0.54859375"""
